Date,Open,High,Low,Close,Volume,Adj Close
2012-09-04,72.550003,72.68,71.970001,72.480003,4925900,65.112558
2012-08-31,72.440002,72.760002,72.190002,72.43,5234100,65.067638
2012-08-30,72.510002,72.580002,72.080002,72.18,3881300,64.84305
2012-08-29,73.029999,73.239998,72.730003,72.779999,3770500,65.382059
2012-08-28,73.019997,73.349998,72.900002,73.120003,4387400,65.687503
2012-08-27,73.010002,73.660004,72.93,73.169998,3472200,65.732416
2012-08-24,72.660004,73.260002,72.580002,73.059998,3989900,65.633597
2012-08-23,72.949997,72.989998,72.50,72.660004,3832100,65.274262
2012-08-22,72.760002,73.080002,72.459999,72.889999,4331800,65.480879
2012-08-21,73.300003,73.480003,73.00,73.010002,3917900,65.588683
2012-08-20,73.269997,73.489998,72.879997,73.330002,3356800,65.876156
2012-08-17,73.57,73.650002,73.120003,73.389999,6204700,65.930055
2012-08-16,72.440002,73.610001,72.400002,73.580002,8715500,66.100744
2012-08-15,72.010002,72.68,71.879997,72.620003,6502100,65.238327
2012-08-14,72.139999,72.300003,71.669998,72.239998,6920700,64.896949
2012-08-13,71.910004,72.160004,71.779999,71.989998,3949000,64.672361
2012-08-10,72.010002,72.160004,71.690002,72.129997,3590200,64.798129
2012-08-09,72.419998,72.50,71.959999,72.139999,3992700,64.807115
2012-08-08,72.089996,72.699997,72.050003,72.57,3521400,65.193406
2012-08-07,72.629997,72.760002,72.199997,72.290001,4924900,64.941869
2012-08-06,72.860001,72.949997,72.459999,72.480003,4092200,65.112558
2012-08-03,72.470001,72.900002,72.190002,72.870003,5431800,65.462915
2012-08-02,72.110001,72.260002,71.449997,71.800003,6331400,64.501678
2012-08-01,72.790001,72.910004,71.089996,72.400002,13038300,65.040688
2012-07-31,72.309998,72.849998,72.25,72.730003,6838800,65.337146
2012-07-30,71.949997,72.940002,71.849998,72.75,6198600,65.35511
2012-07-27,70.589996,72.43,70.510002,72.260002,10795700,64.914919
2012-07-26,70.720001,71.50,70.669998,71.220001,9457100,63.980632
2012-07-25,69.059998,70.449997,69.040001,70.300003,8688300,63.15415
2012-07-24,69.139999,69.139999,68.459999,68.790001,5930700,61.797637
2012-07-23,69.57,69.900002,68.940002,69.339996,5070600,62.291726
2012-07-20,70.040001,70.32,69.660004,69.959999,7628100,62.848707
2012-07-19,70.360001,70.470001,70.099998,70.419998,4110900,63.261948
2012-07-18,70.169998,70.440002,69.800003,70.379997,4221900,63.226013
2012-07-17,70.629997,70.839996,69.57,70.330002,5872300,63.1811
2012-07-16,70.339996,70.550003,70.160004,70.349998,4543400,63.199064
2012-07-13,69.989998,70.50,69.849998,70.410004,4183800,63.25297
2012-07-12,69.959999,70.120003,69.739998,69.849998,5637500,62.749888
2012-07-11,69.75,70.279999,69.599998,70.129997,6239200,63.001425
2012-07-10,70.160004,70.290001,69.720001,69.870003,5074800,62.767859
2012-07-09,70.129997,70.43,69.690002,69.989998,4289200,62.875656
2012-07-06,69.900002,70.489998,69.610001,70.220001,4578900,63.08228
2012-07-05,70.50,70.550003,70.059998,70.169998,4417100,63.03736
2012-07-03,70.419998,70.889999,70.419998,70.760002,3377200,63.567391
2012-07-02,70.339996,70.790001,70.00,70.760002,6248000,63.567391
2012-06-29,69.959999,70.660004,69.809998,70.660004,8886700,63.477558
2012-06-28,69.519997,69.82,69.110001,69.599998,6067200,62.5253
2012-06-27,69.099998,69.919998,68.949997,69.75,7553700,62.660054
2012-06-26,68.550003,69.129997,68.300003,68.940002,6461800,61.932391
2012-06-25,68.139999,68.739998,68.099998,68.610001,5120700,61.635933
2012-06-22,68.639999,69.050003,68.639999,68.699997,5330600,61.716782
2012-06-21,69.089996,69.50,68.459999,68.50,7056100,61.537114
2012-06-20,69.139999,69.239998,68.290001,68.910004,8799900,61.905441
2012-06-19,69.730003,69.739998,69.209999,69.309998,5340200,62.264777
2012-06-18,69.419998,69.75,69.400002,69.599998,4337700,62.5253
2012-06-15,69.50,69.739998,69.199997,69.480003,8815900,62.417502
2012-06-14,68.669998,69.660004,68.580002,69.269997,5879900,62.228842
2012-06-13,68.300003,68.879997,68.160004,68.550003,4964900,61.582034
2012-06-12,68.25,68.50,68.040001,68.400002,5537800,61.44728
2012-06-11,68.550003,68.82,68.029999,68.050003,3874200,61.132858
2012-06-08,67.75,68.410004,67.599998,68.309998,3851800,61.366425
2012-06-07,67.800003,67.980003,67.190002,67.68,6389200,60.800465
2012-06-06,67.32,67.660004,67.040001,67.489998,5743100,60.629776
2012-06-05,67.370003,67.43,66.660004,67.00,5607400,60.189586
2012-06-04,67.459999,67.650002,67.050003,67.480003,6034400,60.620798
2012-06-01,67.019997,67.610001,66.870003,67.510002,10514100,60.647747
2012-05-31,68.139999,68.589996,67.669998,67.849998,10839300,60.953184
2012-05-30,68.599998,68.599998,68.050003,68.220001,7549600,61.285576
2012-05-29,68.50,69.339996,68.440002,69.330002,10044700,61.799436
2012-05-25,68.580002,69.099998,68.309998,68.639999,9372400,61.184381
2012-05-24,68.18,68.900002,67.900002,68.809998,16245700,61.335914
2012-05-23,67.879997,68.400002,67.379997,68.00,5530300,60.613898
2012-05-22,67.910004,68.50,67.82,68.080002,5514200,60.68521
2012-05-21,68.190002,68.220001,67.650002,67.980003,5500800,60.596073
2012-05-18,68.440002,68.449997,67.559998,68.120003,11275700,60.720866
2012-05-17,68.589996,69.18,68.57,68.769997,10532100,61.300258
2012-05-16,68.370003,69.07,68.239998,68.75,12660500,61.282433
2012-05-15,67.010002,68.599998,66.910004,67.849998,16062300,60.480189
2012-05-14,66.57,67.449997,66.32,67.150002,7482800,59.856225
2012-05-11,66.660004,67.25,66.599998,66.800003,5114000,59.544243
2012-05-10,66.169998,67.190002,66.169998,66.790001,8106700,59.535328
2012-05-09,66.129997,66.339996,65.68,65.940002,6013300,58.777655
2012-05-08,66.25,66.699997,66.169998,66.519997,6917600,59.294651
2012-05-07,66.510002,66.970001,66.269997,66.620003,6910300,59.383794
2012-05-04,66.860001,66.900002,65.870003,65.900002,6971200,58.741999
2012-05-03,66.849998,67.00,66.720001,66.910004,5821300,59.642296
2012-05-02,66.519997,66.919998,66.410004,66.830002,5812400,59.570984
2012-05-01,65.919998,66.739998,65.769997,66.489998,6591700,59.267911
2012-04-30,65.970001,66.25,65.769997,66.00,5367500,58.831136
2012-04-27,66.639999,66.690002,66.089996,66.099998,6248000,58.920273
2012-04-26,66.50,66.769997,66.220001,66.370003,7989100,59.160949
2012-04-25,66.650002,66.860001,66.50,66.669998,7056700,59.428359
2012-04-24,66.330002,66.839996,66.269997,66.510002,5512500,59.285742
2012-04-23,66.169998,66.449997,66.029999,66.18,4944500,58.991585
2012-04-20,66.169998,66.739998,66.099998,66.629997,7302500,59.392703
2012-04-19,66.199997,66.360001,66.00,66.150002,6531200,58.964844
2012-04-18,66.099998,66.309998,66.050003,66.209999,5408000,59.018325
2012-04-17,66.230003,66.650002,66.019997,66.400002,6748100,59.18769
2012-04-16,65.129997,66.389999,65.129997,65.989998,7862600,58.82222
2012-04-13,65.349998,65.50,65.059998,65.059998,7412100,57.993236
2012-04-12,65.059998,65.50,64.639999,65.379997,5843100,58.278477
